Protein,C(Time): sum_sq,Residual: sum_sq,C(Time): df,Residual: df,C(Time): F,Residual: F,C(Time): PR(>F),Residual: PR(>F)
CD200R1_OID00376,17.84017043278158,908.589833140481,2.0,84.0,0.824670418759766,,0.4418969116611592,
Nr-CAM_OID00377,3.2087800060437397,107.30404740590552,2.0,84.0,1.255952254475911,,0.29009707801106777,
KYNU_OID00378,0.8411559162276527,167.10478972249547,2.0,84.0,0.2114155347685137,,0.8098670244373559,
MAPT_OID05024,34.60301502107822,757.2613340711976,2.0,84.0,1.919187690558414,,0.15310509335372174,
TXLNA_OID00655,13.963334966725322,1803.7742115317474,2.0,84.0,0.3251294229916101,,0.7233388908787093,
VEGFA_OID00656,8.455670542689703,444.04081301574263,2.0,84.0,0.7997872096058357,,0.45281685571755703,
CPE_OID00657,19.87518142999449,573.0141609453947,2.0,84.0,1.4567835787557732,,0.23880964915797487,
KLK13_OID00658,10.554863290668262,589.2959775424588,2.0,84.0,0.7522607910150327,,0.4744479755744492,
CEACAM1_OID00659,0.5309069411879828,72.37676793754328,2.0,84.0,0.30808354897993184,,0.7356806908619891,
MSLN_OID00660,60.64876788510179,1059.4546098847072,2.0,84.0,2.404301446620232,,0.09652024620512384,
TNFSF13_OID00661,0.9040029031508217,233.07990272276078,2.0,84.0,0.16289745056868363,,0.8499460813131976,
EGF_OID00662,20.402751708777917,284.7890260796751,2.0,84.0,3.0089487069243117,,0.054691230705722745,
TNFRSF6B_OID00663,8.82768361054016,1011.5486191973298,2.0,84.0,0.3665297985744761,,0.6942385063160756,
SYND1_OID00664,3.343001567791519,208.54622129865865,2.0,84.0,0.6732611359386297,,0.5127730539004836,
TGFR-2_OID00665,3.011815278354827,524.2219247423061,2.0,84.0,0.24130284469327568,,0.7861463491768291,
IL6_OID00666,13.898403082552878,1550.3230445972713,2.0,84.0,0.37652341652372046,,0.6873953361591274,
CD48_OID00667,54.65912077393128,2408.261559859544,2.0,84.0,0.9532532141728841,,0.38961492366190065,
SCAMP3_OID00668,23.599293626736408,1502.2934501563907,2.0,84.0,0.6597714529206974,,0.5196275530736258,
LY9_OID00669,2.7269065454184176,931.8511656389276,2.0,84.0,0.12290597375498857,,0.8845055488831132,
IFN-gamma-R1_OID00670,1.0452798139346602,261.78632363578714,2.0,84.0,0.16770070940120801,,0.8458892872649493,
ITGAV_OID00671,1.5853835370833944,442.50539322294355,2.0,84.0,0.15047524748236252,,0.8605304027603573,
